"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)"
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)"
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)"
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)"
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)"
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)"
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)"
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)"
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)"
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)"
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)"
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)"
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)"
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)"
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)"
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)"
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)"
"(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)","(-1, -1, -1)"
"(170, 421)","(-1, -1)","(-1, -1)","(-1, -1)","(-0.33254289627075195, 0.23893128335475922, 0.859000027179718)","(-1.0, -1.0, -1.0)","(-1.0, -1.0, -1.0)","(-1.0, -1.0, -1.0)"
"(170, 421)","(-1, -1)","(-1, -1)","(-1, -1)","(-0.3395112156867981, 0.24393799901008606, 0.8770000338554382)","(-1.0, -1.0, -1.0)","(-1.0, -1.0, -1.0)","(-1.0, -1.0, -1.0)"
